id,TARGET_NAME,TARGET_CLASS,SWISSPROT,ACTION_TYPE
P42261|P42262|P42263|P48058,Glutamate receptor ionotropic AMPA,Ion channel,GRIA1_HUMAN|GRIA2_HUMAN|GRIA3_HUMAN|GRIA4_HUMAN,OPENER
P47898,5-hydroxytryptamine receptor 5A,GPCR,5HT5A_HUMAN,ANTAGONIST
Q05940,Synaptic vesicular amine transporter,Transporter,VMAT2_HUMAN,
P54219,Chromaffin granule amine transporter,Transporter,VMAT1_HUMAN,INHIBITOR
P28334,5-hydroxytryptamine receptor 1B,GPCR,5HT1B_MOUSE,ANTAGONIST
Q8BRU6,Synaptic vesicular amine transporter,Transporter,VMAT2_MOUSE,
O55242|P32300|P33534|P42866,Opioid receptor,GPCR,SGMR1_MOUSE|OPRD_MOUSE|OPRK_MOUSE|OPRM_MOUSE,
Q16322,Potassium voltage-gated channel subfamily A member 10,Ion channel,KCA10_HUMAN,BLOCKER
P30969,Gonadotropin-releasing hormone receptor,GPCR,GNRHR_RAT,
Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Enzyme,CP24A_HUMAN,
P08686,Cytochrome P450 21,Enzyme,CP21A_HUMAN,
P15150,Cytochrome P450 11B1,Enzyme,C11B1_BOVIN,
P14137,Cytochrome P450 11A1,Enzyme,CP11A_RAT,
Q09128,Cytochrome P450 24A1,Enzyme,CP24A_RAT,
P18125,Cytochrome P450 7A1,Enzyme,CP7A1_RAT,
Q64654,Cytochrome P450 51,Enzyme,CP51A_RAT,
P11715,Cytochrome P450 17A1,Enzyme,CP17A_RAT,
O35084,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Enzyme,CP27B_MOUSE,
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",Enzyme,CP17A_HUMAN,INHIBITOR
Q13153,Serine/threonine-protein kinase PAK 1,Kinase,PAK1_HUMAN,
P47154,CAAX prenyl protease 1,Enzyme,STE24_YEAST,
O00214,Galectin-8,Unclassified,LEG8_HUMAN,
O00182,Galectin-9,Unclassified,LEG9_HUMAN,
P17931,Galectin-3,Unclassified,LEG3_HUMAN,
Q62968,Sodium channel protein type X alpha subunit,Ion channel,SCNAA_RAT,
P30874,Somatostatin receptor type 2,GPCR,SSR2_HUMAN,AGONIST
P32745,Somatostatin receptor type 3,GPCR,SSR3_HUMAN,AGONIST
P35346,Somatostatin receptor type 5,GPCR,SSR5_HUMAN,AGONIST
P30875,Somatostatin receptor type 2,GPCR,SSR2_MOUSE,AGONIST
P30935,Somatostatin receptor type 3,GPCR,SSR3_MOUSE,AGONIST
P30938,Somatostatin receptor type 5,GPCR,SSR5_RAT,AGONIST
P30872,Somatostatin receptor type 1,GPCR,SSR1_HUMAN,
P30680,Somatostatin receptor type 2,GPCR,SSR2_RAT,AGONIST
P30936,Somatostatin receptor type 3,GPCR,SSR3_RAT,AGONIST
Q8TCT1,Phosphoethanolamine/phosphocholine phosphatase,Enzyme,PHOP1_HUMAN,
P10636,Microtubule-associated protein tau,Structural,TAU_HUMAN,
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Enzyme,DDAH1_HUMAN,
Q8NFI3,Cytosolic endo-beta-N-acetylglucosaminidase,Enzyme,ENASE_HUMAN,
P04626,Receptor tyrosine-protein kinase erbB-2,Kinase,ERBB2_HUMAN,INHIBITOR
Q9Y6L6,Solute carrier organic anion transporter family member 1B1,Transporter,SO1B1_HUMAN,
P24941,Cyclin-dependent kinase 2,Kinase,CDK2_HUMAN,
O14733,Dual specificity mitogen-activated protein kinase kinase 7,Kinase,MP2K7_HUMAN,
O00750,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,Kinase,P3C2B_HUMAN,
O75747,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma,Kinase,P3C2G_HUMAN,
Q9UBF8,Phosphatidylinositol 4-kinase beta,Kinase,PI4KB_HUMAN,
Q5T6X5,G-protein coupled receptor family C group 6 member A,GPCR,GPC6A_HUMAN,AGONIST
O75746,Calcium-binding mitochondrial carrier protein Aralar1,Transporter,CMC1_HUMAN,
P17174,"Aspartate aminotransferase, cytoplasmic",Enzyme,AATC_HUMAN,
P45381,Aspartoacylase,Enzyme,ACY2_HUMAN,
P08243,Asparagine synthetase [glutamine-hydrolyzing],Enzyme,ASNS_HUMAN,
P00966,Argininosuccinate synthase,Enzyme,ASSY_HUMAN,
Q03154,Aminoacylase-1,Enzyme,ACY1_HUMAN,
P00505,"Aspartate aminotransferase, mitochondrial",Enzyme,AATM_HUMAN,
P14868,"Aspartate--tRNA ligase, cytoplasmic",Enzyme,SYDC_HUMAN,
Q12797,Aspartyl/asparaginyl beta-hydroxylase,Enzyme,ASPH_HUMAN,
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2,Transporter,CMC2_HUMAN,
O59010,Glutamate transporter homolog,Transporter,GLT_PYRHO,
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Enzyme,PYRD_HUMAN,INHIBITOR
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Enzyme,PYRD_MOUSE,
Q9N587,Acetylcholine receptor subunit alpha-type unc-63,Ion channel,ACH6_CAEEL,
O96760,Nicotinic acetylcholine receptor alpha subunit,Ion channel,O96760_ASCSU,AGONIST
P09487,"Alkaline phosphatase, tissue-nonspecific isozyme",Enzyme,PPBT_BOVIN,
P09923,Intestinal-type alkaline phosphatase,Enzyme,PPBI_HUMAN,
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,Ion channel,CAC1G_HUMAN,
Q02563,Synaptic vesicle glycoprotein 2A,Unclassified,SV2A_RAT,INHIBITOR
Q7L0J3,Synaptic vesicle glycoprotein 2A,Transporter,SV2A_HUMAN,MODULATOR
O95665,Neurotensin receptor type 2,GPCR,NTR2_HUMAN,AGONIST
Q63384,Neurotensin receptor 2,GPCR,NTR2_RAT,
P70310,Neurotensin receptor type 2,GPCR,NTR2_MOUSE,AGONIST
P33534,Kappa-type opioid receptor,GPCR,OPRK_MOUSE,
O55242,Sigma non-opioid intracellular receptor 1,Membrane receptor,SGMR1_MOUSE,
Q15842,ATP-sensitive inward rectifier potassium channel 8,Ion channel,KCNJ8_HUMAN,
P63316,"Troponin C, slow skeletal and cardiac muscles",Cytosolic other,TNNC1_HUMAN,OPENER
Q62968,Sodium channel protein type X alpha subunit,Ion channel,SCNAA_RAT,BLOCKER
P28472,Gamma-aminobutyric acid receptor subunit beta-3,Ion channel,GBRB3_HUMAN,
Q75NA5,Gamma-aminobutyric acid receptor subunit beta,Ion channel,GBRB_MUSDO,
H9U2V9|H9U2W0|H9U2W1,GABA-A receptor,Ion channel,H9U2V9_TETUR|H9U2W0_TETUR|H9U2W1_TETUR,NEGATIVE ALLOSTERIC MODULATOR
E0V9W2|E0VY07|E0W492,GABA-A receptor,Ion channel,E0V9W2_PEDHC|E0VY07_PEDHC|E0W492_PEDHC,NEGATIVE ALLOSTERIC MODULATOR
P18507|P28472|Q16445,GABA-A receptor alpha-6/beta-3/gamma-2,Ion channel,GBRG2_HUMAN|GBRB3_HUMAN|GBRA6_HUMAN,
P14867|P18505|P18507,GABA A receptor alpha-1/beta-1/gamma-2,Ion channel,GBRA1_HUMAN|GBRB1_HUMAN|GBRG2_HUMAN,
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Enzyme,SDHA_HUMAN,
P10827,Thyroid hormone receptor alpha,Nuclear hormone receptor,THA_HUMAN,AGONIST
P10828,Thyroid hormone receptor beta,Nuclear hormone receptor,THB_HUMAN,AGONIST
P12004,Proliferating cell nuclear antigen,Nuclear other,PCNA_HUMAN,
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Ion channel,CAC1A_HUMAN,
O00255,Menin,Unclassified,MEN1_HUMAN,
Q80W54,CAAX prenyl protease 1 homolog,Enzyme,FACE1_MOUSE,
Q9NPC2,Potassium channel subfamily K member 9,Ion channel,KCNK9_HUMAN,
Q9H2J7,Sodium-dependent neutral amino acid transporter B(0)AT2,Transporter,S6A15_HUMAN,
P50052,Type-2 angiotensin II receptor,GPCR,AGTR2_HUMAN,
P25095,Type-1A angiotensin II receptor,GPCR,AGTRA_RAT,
Q9WV26,Type-1 angiotensin II receptor,GPCR,AGTR1_CAVPO,
Q13370|Q14432,Phosphodiesterase 3,Enzyme,PDE3B_HUMAN|PDE3A_HUMAN,
P30556|P50052,Angiotensin II receptor,GPCR,AGTR1_HUMAN|AGTR2_HUMAN,
Q9HCN6,Platelet glycoprotein VI,Unclassified,GPVI_HUMAN,
O75469,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,NR1I2_HUMAN,AGONIST
Q8TDS4,Hydroxycarboxylic acid receptor 2,GPCR,HCAR2_HUMAN,
P49019,Hydroxycarboxylic acid receptor 3,GPCR,HCAR3_HUMAN,
Q01237,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Enzyme,HMDH_MOUSE,
P20701,Leukocyte adhesion glycoprotein LFA-1 alpha,Adhesion,ITAL_HUMAN,
Q95214,Acyl-CoA:cholesterol acyltransferase,Enzyme,Q95214_RABIT,
Q5JUK3,Potassium channel subfamily T member 1,Ion channel,KCNT1_HUMAN,ACTIVATOR
P30551,Cholecystokinin receptor type A,GPCR,CCKAR_RAT,ANTAGONIST
P0AC13,Dihydropteroate synthase,Enzyme,DHPS_ECOLI,INHIBITOR
A2PZ98,Acetylcholinesterase,Enzyme,A2PZ98_9NEOP,INHIBITOR
P51681,C-C chemokine receptor type 5,GPCR,CCR5_HUMAN,ANTAGONIST
P51682,C-C chemokine receptor type 5,GPCR,CCR5_MOUSE,
P61813,C-C chemokine receptor type 5,GPCR,CCR5_MACMU,
P08069,Insulin-like growth factor 1 receptor,Kinase,IGF1R_HUMAN,
Q15722,Leukotriene B4 receptor 1,GPCR,LT4R1_HUMAN,
P08170,Seed linoleate 13S-lipoxygenase-1,Enzyme,LOX1_SOYBN,
P48999,Arachidonate 5-lipoxygenase,Enzyme,LOX5_MOUSE,
Q39829,Lipoxygenase,Unclassified,Q39829_SOYBN,
K4CF70,"Fatty acid hydroperoxide lyase, chloroplastic",Enzyme,HPL_SOLLC,
P11473,Vitamin D3 receptor,Nuclear hormone receptor,VDR_HUMAN,
P13053,Vitamin D3 receptor,Transcription factor,VDR_RAT,AGONIST
Q9BJF5,Calmodulin-domain protein kinase 1,Kinase,Q9BJF5_TOXGO,
P30926|P32297,Neuronal acetylcholine receptor; alpha3/beta4,Ion channel,ACHB4_HUMAN|ACHA3_HUMAN,NEGATIVE ALLOSTERIC MODULATOR
P30926|P43681,Neuronal acetylcholine receptor; alpha4/beta4,Ion channel,ACHB4_HUMAN|ACHA4_HUMAN,BLOCKER
P17787|P32297|Q05901|Q15825,Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3,Ion channel,ACHB2_HUMAN|ACHA3_HUMAN|ACHB3_HUMAN|ACHA6_HUMAN,
P32297,Neuronal acetylcholine receptor subunit alpha-3,Ion channel,ACHA3_HUMAN,BLOCKER
O35627,Constitutive androstane receptor,Nuclear hormone receptor,NR1I3_MOUSE,AGONIST
P08913|P18089|P18825,Adrenergic receptor alpha-2,GPCR,ADA2A_HUMAN|ADA2B_HUMAN|ADA2C_HUMAN,
P03372|Q92731,Estrogen receptor,Nuclear hormone receptor,ESR1_HUMAN|ESR2_HUMAN,
P90584,Protein kinase Pfmrk,Unclassified,P90584_PLAFA,
P35398,Nuclear receptor ROR-alpha,Nuclear hormone receptor,RORA_HUMAN,
P51050,Melatonin receptor type 1B,GPCR,MTR1B_CHICK,
Q63016,L-type amino acid transporter 1,Transporter,LAT1_RAT,
Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",Ion channel,NMD3A_HUMAN,NEGATIVE ALLOSTERIC MODULATOR
Q05586,"Glutamate receptor ionotropic, NMDA 1",Ion channel,NMDZ1_HUMAN,NEGATIVE ALLOSTERIC MODULATOR
Q05586|Q13224,Glutamate NMDA receptor; GRIN1/GRIN2B,Ion channel,NMDZ1_HUMAN|NMDE2_HUMAN,NEGATIVE ALLOSTERIC MODULATOR
Q05586|Q12879,Glutamate NMDA receptor; GRIN1/GRIN2A,Ion channel,NMDZ1_HUMAN|NMDE1_HUMAN,NEGATIVE ALLOSTERIC MODULATOR
P30305,M-phase inducer phosphatase 2,Enzyme,MPIP2_HUMAN,
P30307,Dual specificity phosphatase Cdc25C,Enzyme,MPIP3_HUMAN,
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3,Enzyme,UCHL3_HUMAN,
P30304,Dual specificity phosphatase Cdc25A,Enzyme,MPIP1_HUMAN,
Q64346,Dual specificity protein phosphatase 6,Enzyme,DUS6_RAT,
P28563,Dual specificity protein phosphatase 1,Enzyme,DUS1_MOUSE,
P30304,M-phase inducer phosphatase 1,Enzyme,MPIP1_HUMAN,
Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Enzyme,MALT1_HUMAN,
P18507|P28472|P47869,GABA-A receptor alpha-2/beta-3/gamma-2,Ion channel,GBRG2_HUMAN|GBRB3_HUMAN|GBRA2_HUMAN,AGONIST
P18507|P28472|P34903,GABA-A receptor alpha-3/beta-3/gamma-2,Ion channel,GBRG2_HUMAN|GBRB3_HUMAN|GBRA3_HUMAN,AGONIST
P18507|P28472|P31644,GABA-A receptor alpha-5/beta-3/gamma-2,Ion channel,GBRG2_HUMAN|GBRB3_HUMAN|GBRA5_HUMAN,AGONIST
P14867|P18507|P28472,GABA-A receptor alpha-1/beta-3/gamma-2,Ion channel,GBRA1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN,AGONIST
Q389T8,Trypanothione reductase,Enzyme,Q389T8_TRYB2,
Q06203,Amidophosphoribosyltransferase,Enzyme,PUR1_HUMAN,INHIBITOR
Q6XEC0,Beta-lactamase,Enzyme,Q6XEC0_KLEPN,
P01375,Tumor necrosis factor,Cytokine,TNFA_HUMAN,
Q9WU19,Hydroxyacid oxidase 1,Enzyme,HAOX1_MOUSE,
P28222,5-hydroxytryptamine receptor 1B,GPCR,5HT1B_HUMAN,ANTAGONIST
P30939,5-hydroxytryptamine receptor 1F,GPCR,5HT1F_HUMAN,ANTAGONIST
Q9Y478,5'-AMP-activated protein kinase subunit beta-1,Kinase,AAKB1_HUMAN,
O00217|O00483|O14561|O15239|O43181|O43674|O43676|O43677|O43678|O43920|O75251|O75306|O75380|O75438|O75489|O95139|O95167|O95168|O95169|O95178|O95182|O95298|O95299|O96000|P03886|P03891|P03897|P03901|P03905|P03915|P03923|P17568|P19404|P28331|P49821|P51970|P56181|P56556|Q16718|Q16795|Q86Y39|Q8N183|Q9BU61|Q9NRX3|Q9NX14|Q9P032|Q9P0J0|Q9UI09|Q9Y375|Q9Y6M9,Mitochondrial complex I (NADH dehydrogenase),Enzyme,NDUS8_HUMAN|NDUA4_HUMAN|ACPM_HUMAN|NDUA1_HUMAN|NDUS4_HUMAN|NDUB5_HUMAN|NDUB3_HUMAN|NDUC1_HUMAN|NDUA2_HUMAN|NDUS5_HUMAN|NDUS7_HUMAN|NDUS2_HUMAN|NDUS6_HUMAN|NDUB1_HUMAN|NDUS3_HUMAN|NDUB6_HUMAN|NDUA3_HUMAN|NDUB4_HUMAN|NDUB8_HUMAN|NDUB2_HUMAN|NDUA7_HUMAN|NDUC2_HUMAN|NDUAA_HUMAN|NDUBA_HUMAN|NU1M_HUMAN|NU2M_HUMAN|NU3M_HUMAN|NU4LM_HUMAN|NU4M_HUMAN|NU5M_HUMAN|NU6M_HUMAN|NDUB7_HUMAN|NDUV2_HUMAN|NDUS1_HUMAN|NDUV1_HUMAN|NDUA8_HUMAN|NDUV3_HUMAN|NDUA6_HUMAN|NDUA5_HUMAN|NDUA9_HUMAN|NDUAB_HUMAN|MIMIT_HUMAN|NDUF3_HUMAN|NUA4L_HUMAN|NDUBB_HUMAN|NDUF4_HUMAN|NDUAD_HUMAN|NDUAC_HUMAN|CIA30_HUMAN|NDUB9_HUMAN,INHIBITOR
P08482,Muscarinic acetylcholine receptor M1,GPCR,ACM1_RAT,AGONIST
P08483,Muscarinic acetylcholine receptor M3,GPCR,ACM3_RAT,AGONIST
P43351,DNA repair protein RAD52 homolog,Nuclear other,RAD52_HUMAN,
Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10,Ion channel,ACH10_HUMAN,
Q01827,Synaptic vesicular amine transporter,Transporter,VMAT2_RAT,
P08172|P08173|P08912|P11229|P20309,Muscarinic acetylcholine receptor,GPCR,ACM2_HUMAN|ACM4_HUMAN|ACM5_HUMAN|ACM1_HUMAN|ACM3_HUMAN,ANTAGONIST
P18507|P47869|P47870,GABA A receptor alpha-2/beta-2/gamma-2,Ion channel,GBRG2_HUMAN|GBRA2_HUMAN|GBRB2_HUMAN,POSITIVE ALLOSTERIC MODULATOR
O14764|P47870|P48169,GABA A receptor alpha-4/beta-2/delta,Ion channel,GBRD_HUMAN|GBRB2_HUMAN|GBRA4_HUMAN,POSITIVE ALLOSTERIC MODULATOR
P48169|P28472|O14764,GABA A receptor alpha-4/beta-3/delta,Ion channel,GBRA4_HUMAN|GBRB3_HUMAN|GBRD_HUMAN,AGONIST
Q16445|P47870,GABA-A receptor alpha-6/beta-2,Ion channel,GBRA6_HUMAN|GBRB2_HUMAN,POSITIVE ALLOSTERIC MODULATOR
P47870|Q16445|O14764,GABA-A receptor alpha-6/beta-2/delta,Ion channel,GBRB2_HUMAN|GBRA6_HUMAN|GBRD_HUMAN,POSITIVE ALLOSTERIC MODULATOR
O14764|P28472|Q16445,GABA-A receptor alpha-6/beta-3/delta,Ion channel,GBRD_HUMAN|GBRB3_HUMAN|GBRA6_HUMAN,POSITIVE ALLOSTERIC MODULATOR
P07944,Beta-lactam-inducible penicillin-binding protein,Enzyme,PBP_STAAU,
P18843,NH(3)-dependent NAD(+) synthetase,Enzyme,NADE_ECOLI,
P15101,Dopamine beta-hydroxylase,Enzyme,DOPO_BOVIN,
P14207,Folate receptor beta,Membrane receptor,FOLR2_HUMAN,
P13922,Bifunctional dihydrofolate reductase-thymidylate synthase,Enzyme,DRTS_PLAFK,
Q96NT5,Proton-coupled folate transporter,Transporter,PCFT_HUMAN,
P07382,Bifunctional dihydrofolate reductase-thymidylate synthase,Enzyme,DRTS_LEIMA,
P00469,Thymidylate synthase,Enzyme,TYSY_LACCA,
C3SWJ7,Thymidylate synthase,Enzyme,C3SWJ7_ECOLX,
Q01782,Pteridine reductase 1,Enzyme,PTR1_LEIMA,
P0A017,Dihydrofolate reductase,Enzyme,DYR_STAAU,
Q81R22,Dihydrofolate reductase,Enzyme,Q81R22_BACAN,
P00380,Dihydrofolate reductase,Enzyme,DYR_ENTFC,
P41440,Folate transporter 1,Transporter,S19A1_HUMAN,
P15328,Folate receptor alpha,Membrane receptor,FOLR1_HUMAN,
P23415,Glycine receptor subunit alpha-1,Ion channel,GLRA1_HUMAN,AGONIST
O00591|O14764|P14867|P18505|P18507|P28472|P31644|P34903|P47869|P47870|P48169|P78334|Q16445|Q8N1C3|Q99928|Q9UN88,GABA-A receptor; anion channel,Ion channel,GBRP_HUMAN|GBRD_HUMAN|GBRA1_HUMAN|GBRB1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN|GBRA5_HUMAN|GBRA3_HUMAN|GBRA2_HUMAN|GBRB2_HUMAN|GBRA4_HUMAN|GBRE_HUMAN|GBRA6_HUMAN|GBRG1_HUMAN|GBRG3_HUMAN|GBRT_HUMAN,POSITIVE MODULATOR
O43497|O95180|Q9P0X4,Voltage-gated T-type calcium channel,Ion channel,CAC1G_HUMAN|CAC1H_HUMAN|CAC1I_HUMAN,BLOCKER
Q16881,"Thioredoxin reductase 1, cytoplasmic",Enzyme,TRXR1_HUMAN,
O15770,Glutathione reductase,Enzyme,GSHR_PLAF7,
P41595,5-hydroxytryptamine receptor 2B,GPCR,5HT2B_HUMAN,PARTIAL AGONIST
P09483,Neuronal acetylcholine receptor subunit alpha-4,Ion channel,ACHA4_RAT,
P34975,Kappa-type opioid receptor,GPCR,OPRK_RAT,
P32300|P42866,Opioid receptors; mu and delta,GPCR,OPRD_MOUSE|OPRM_MOUSE,
Q9UL62,Short transient receptor potential channel 5,Ion channel,TRPC5_HUMAN,ACTIVATOR
P30940,5-hydroxytryptamine receptor 1F,GPCR,5HT1F_RAT,ANTAGONIST
P61168,D(2) dopamine receptor,GPCR,DRD2_MOUSE,ANTAGONIST
P23979|Q9JHJ5,Serotonin 3 receptor (5HT3),Ion channel,5HT3A_MOUSE|5HT3B_MOUSE,
Q13621,Solute carrier family 12 member 1,Transporter,S12A1_HUMAN,
C4LW95,Thioredoxin reductase,Enzyme,C4LW95_ENTHI,
P15393,"Cytochrome P450 11B1, mitochondrial",Enzyme,C11B1_RAT,
P07101,Tyrosine 3-monooxygenase,Enzyme,TY3H_HUMAN,INHIBITOR
Q62205,Sodium channel protein type 9 subunit alpha,Ion channel,SCN9A_MOUSE,
A2APX8,Sodium channel protein type 1 subunit alpha,Ion channel,SCN1A_MOUSE,
P34972,Cannabinoid receptor 2,GPCR,CNR2_HUMAN,
P02768,Serum albumin,Secreted,ALBU_HUMAN,
P14778,Interleukin-1 receptor type 1,Membrane receptor,IL1R1_HUMAN,
P41222,Prostaglandin-H2 D-isomerase,Enzyme,PTGDS_HUMAN,
Q9NG02,G-protein coupled receptor,GPCR,Q9NG02_APIME,
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,Ion channel,CAC1I_HUMAN,
Q8NEC5,Cation channel sperm-associated protein 1,Ion channel,CTSR1_HUMAN,BLOCKER
Q96P56,Cation channel sperm-associated protein 2,Ion channel,CTSR2_HUMAN,BLOCKER
Q86XQ3,Cation channel sperm-associated protein 3,Ion channel,CTSR3_HUMAN,BLOCKER
Q7RTX7,Cation channel sperm-associated protein 4,Ion channel,CTSR4_HUMAN,BLOCKER
Q07652,Voltage-dependent R-type calcium channel subunit alpha-1E,Ion channel,CAC1E_RAT,GATING INHIBITOR
P54282,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Ion channel,CAC1A_RAT,GATING INHIBITOR
P15390,Sodium channel protein type 4 subunit alpha,Ion channel,SCN4A_RAT,
Q5AIC4,"Beta-1,3-glucan synthase",Unclassified,Q5AIC4_CANAL,
O13428,"Beta-1,3-glucan synthase catalytic subunit 1",Enzyme,O13428_CANAX,INHIBITOR
P04150,Glucocorticoid receptor,Nuclear hormone receptor,GCR_HUMAN,ANTAGONIST
P06401,Progesterone receptor,Nuclear hormone receptor,PRGR_HUMAN,ANTAGONIST
P21447,P-glycoprotein 3,Transporter,MDR1A_MOUSE,
F1Q298,Glucocorticoid receptor,Nuclear hormone receptor,F1Q298_CANLF,
Q9N1U3,Glucocorticoid receptor,Nuclear hormone receptor,GCR_PIG,
P04746,Pancreatic alpha-amylase,Enzyme,AMYP_HUMAN,
P10253,Lysosomal alpha-glucosidase,Enzyme,LYAG_HUMAN,INHIBITOR
P35574,Glycogen debranching enzyme,Enzyme,GDE_RABIT,
P09848,Lactase-phlorizin hydrolase,Enzyme,LPH_HUMAN,
Q58D55,Beta-galactosidase,Enzyme,BGAL_BOVIN,
C0HJB3,Alpha-mannosidase,Enzyme,MANULL_CANEN,
P56526,Alpha-glucosidase,Enzyme,AGLU_ASPNG,
O43451,"Maltase-glucoamylase, intestinal",Enzyme,MGA_HUMAN,
Q16739,Ceramide glucosyltransferase,Enzyme,CEGT_HUMAN,INHIBITOR
Q69ZF3,Non-lysosomal glucosylceramidase,Enzyme,GBA2_MOUSE,
Q9HCG7,Non-lysosomal glucosylceramidase,Enzyme,GBA2_HUMAN,
P35573,Glycogen debranching enzyme,Enzyme,GDE_HUMAN,
P70699,Lysosomal alpha-glucosidase,Enzyme,LYAG_MOUSE,
B5THE3,Sucrase-isomaltase,Enzyme,B5THE3_MOUSE,
Q9LGC6,Putative alpha-glucosidase,Enzyme,Q9LGC6_ORYSJ,
O70282,Trehalase,Enzyme,O70282_RAT,
I3LIR5,Uncharacterized protein,Enzyme,I3LIR5_PIG,
O88693,Ceramide glucosyltransferase,Enzyme,CEGT_MOUSE,
Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Enzyme,PDE3B_HUMAN,
E1BN64,Uncharacterized protein,Enzyme,E1BN64_BOVIN,
Q28156,"cGMP-specific 3',5'-cyclic phosphodiesterase",Enzyme,PDE5A_BOVIN,
O89085,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Enzyme,PDE4A_CAVPO,
P31749,RAC-alpha serine/threonine-protein kinase,Kinase,AKT1_HUMAN,
P34896,"Serine hydroxymethyltransferase, cytosolic",Enzyme,GLYC_HUMAN,
P08543,Ribonucleoside-diphosphate reductase large subunit,Enzyme,RIR1_HHV11,
Q9Z7H2,30S ribosomal protein S4,Unclassified,RS4_CHLPN,
Q9Z8T8,30S ribosomal protein S9,Unclassified,RS9_CHLPN,
P48048,ATP-sensitive inward rectifier potassium channel 1,Ion channel,KCNJ1_HUMAN,
O60706|Q14654,"Sulfonylurea receptor 2, Kir6.2",Ion channel,ABCC9_HUMAN|KCJ11_HUMAN,OPENER
P10109,"Adrenodoxin, mitochondrial",Unclassified,ADX_HUMAN,
P08922,Proto-oncogene tyrosine-protein kinase ROS,Kinase,ROS1_HUMAN,
Q63470,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Kinase,DYR1A_RAT,
P21398,Amine oxidase [flavin-containing] A,Enzyme,AOFA_BOVIN,
P14679,Tyrosinase,Enzyme,TYRO_HUMAN,INHIBITOR
Q9NS75,Cysteinyl leukotriene receptor 2,GPCR,CLTR2_HUMAN,
Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,GPCR,GPR17_HUMAN,
Q6NS65,Uracil nucleotide/cysteinyl leukotriene receptor,GPCR,GPR17_MOUSE,ANTAGONIST
P79350,Mu-type opioid receptor,GPCR,OPRM_BOVIN,
P47748,Nociceptin receptor,GPCR,OPRX_CAVPO,
Q98UH1,Mu opioid receptor-like OR2,GPCR,Q98UH1_DANRE,
B3DH72,"Opioid receptor, delta 1b",GPCR,B3DH72_DANRE,
O57585,Opioid receptor homologue,GPCR,O57585_DANRE,
Q9Y2I1,Nischarin,Membrane receptor,NISCH_HUMAN,AGONIST
P00956,Isoleucine--tRNA ligase,Enzyme,SYI_ECOLI,
P41252,"Isoleucine--tRNA ligase, cytoplasmic",Enzyme,SYIC_HUMAN,
P41972,Isoleucine--tRNA ligase,Enzyme,SYI1_STAAU,INHIBITOR
Q99YW3,Isoleucine--tRNA ligase,Enzyme,SYI_STRP1,INHIBITOR
P56690,Isoleucine--tRNA ligase,Enzyme,SYI_THET8,
P20839,Inosine-5'-monophosphate dehydrogenase 1,Enzyme,IMDH1_HUMAN,INHIBITOR
P12268,Inosine-5'-monophosphate dehydrogenase 2,Enzyme,IMDH2_HUMAN,INHIBITOR
P20839,Inosine-5'-monophosphate dehydrogenase 1,Enzyme,IMDH1_HUMAN,
P12268,Inosine-5'-monophosphate dehydrogenase 2,Enzyme,IMDH2_HUMAN,
P12268|P20839,Inosine-5'-monophosphate dehydrogenase (IMPDH),Enzyme,IMDH2_HUMAN|IMDH1_HUMAN,INHIBITOR
Q5KP44,Inosine-5'-monophosphate dehydrogenase,Unclassified,IMDH_CRYNJ,
P20272,Cannabinoid receptor 1,GPCR,CNR1_RAT,
P47936,Cannabinoid receptor 2,GPCR,CNR2_MOUSE,
Q9Y5Y6,Suppressor of tumorigenicity 14 protein,Enzyme,ST14_HUMAN,
P00736,Complement C1r subcomponent,Enzyme,C1R_HUMAN,INHIBITOR
P09871,Complement C1s subcomponent,Enzyme,C1S_HUMAN,
